epoch,train_loss,val_loss,val_acc
1,0.8689602046269617,0.2154089074210945,93.476348379238
2,0.34396349770940227,0.15782971044768504,95.09372673749746
3,0.254955885750423,0.12987835978629528,95.95993774108412
4,0.24058761252936992,0.1061118281531063,96.71787236922243
5,0.1977959108696162,0.14088152361896647,95.27644312106652
6,0.18578245266223753,0.0982930868737061,97.40136698924003
7,0.1847359120303531,0.0825872075264201,97.48257427082629
8,0.16193590889023657,0.08009796836957722,97.58408337280909
9,0.1437821240482844,0.07980396390743393,97.44873790349868
10,0.1597371282392621,0.11506652760367791,96.8058469242742
11,0.1602959949573607,0.07194972168089765,97.84123976449888
12,0.13776656026443976,0.0861078342180941,97.4555051769642
13,0.14409673687431446,0.07353906836703387,97.86830885836096
14,0.13672647033052043,0.07789630467652695,97.48257427082629
15,0.13633688114527048,0.06663136501913462,97.76679975637815
16,0.13846928173690243,0.06726296024913073,97.71266156865399
17,0.1489180193345155,0.07443501710794963,97.4216688096366
18,0.1463738948210582,0.06427154360461004,97.99688705420586
19,0.13112818716167982,0.06457167407759824,98.08486160925763
20,0.1557735507376492,0.06149632702037305,98.11869797658524
